region,year,infant_mortality,region_standard
        Ивановская область,1995,141.0,Ивановская область
        Калужская область,1995,102.0,Калужская область
        Костромская область,1995,74.0,Костромская область
        Курская область,1995,135.0,Курская область
        Липецкая область,1995,93.0,Липецкая область
        Московская область,1995,613.0,Московская область
        Орловская область,1995,73.0,Орловская область
        Рязанская область,1995,98.0,Рязанская область
        Смоленская область,1995,97.0,Смоленская область
        Тамбовская область,1995,112.0,Тамбовская область
        Тверская область,1995,152.0,Тверская область
        Тульская область,1995,195.0,Тульская область
        Ярославская область,1995,93.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1995,1067.0,Москва
        Республика Карелия,1995,87.0,Республика Карелия
        Республика Коми,1995,200.0,Республика Коми
        Архангельская область,1995,152.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1995,2.0,Ненецкий автономный округ
        Вологодская область,1995,123.0,Вологодская область
        Калининградская область,1995,80.0,Калининградская область
        Ленинградская область,1995,123.0,Ленинградская область
        Мурманская область,1995,122.0,Мурманская область
        Новгородская область,1995,68.0,Новгородская область
        Псковская область,1995,73.0,Псковская область
        Город Санкт-Петербург город федерального значения,1995,469.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1995,46.0,Республика Адыгея
