region,year,infant_mortality,region_standard
        Республика Адыгея (Адыгея),1993,52.0,Республика Адыгея
        Республика Калмыкия,1993,62.0,Республика Калмыкия
        Краснодарский край,1993,510.0,Краснодарский край
        Астраханская область,1993,63.0,Астраханская область
        Волгоградская область,1993,203.0,Волгоградская область
        Ростовская область,1993,337.0,Ростовская область
        Республика Дагестан,1993,646.0,Республика Дагестан
        Республика Ингушетия,1993,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1993,110.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1993,52.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1993,63.0,Республика Северная Осетия - Алания
        Чеченская Республика,1993,0.0,Чеченская Республика
        Ставропольский край,1993,294.0,Ставропольский край
        Республика Башкортостан,1993,378.0,Республика Башкортостан
        Республика Марий Эл,1993,77.0,Республика Марий Эл
        Республика Мордовия,1993,60.0,Республика Мордовия
        Республика Татарстан (Татарстан),1993,274.0,Республика Татарстан
        Удмуртская Республика,1993,130.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1993,115.0,Чувашская Республика
        Пермский край,1993,211.0,Пермский край
        Кировская область,1993,104.0,Кировская область
        Нижегородская область,1993,134.0,Нижегородская область
        Оренбургская область,1993,247.0,Оренбургская область
        Пензенская область,1993,86.0,Пензенская область
        Самарская область,1993,107.0,Самарская область
        Саратовская область,1993,213.0,Саратовская область
        Ульяновская область,1993,117.0,Ульяновская область
        Курганская область,1993,181.0,Курганская область
        Свердловская область,1993,179.0,Свердловская область
        Тюменская область,1993,208.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1993,46.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1993,44.0,Ямало-Ненецкий автономный округ
        Челябинская область,1993,186.0,Челябинская область
        Республика Алтай,1993,60.0,Республика Алтай
        Республика Тыва,1993,121.0,Республика Тыва
        Республика Хакасия,1993,51.0,Республика Хакасия
        Алтайский край,1993,249.0,Алтайский край
        Красноярский край,1993,283.0,Красноярский край
        Иркутская область,1993,227.0,Иркутская область
        Кемеровская область - Кузбасс,1993,124.0,Кемеровская область
        Новосибирская область,1993,203.0,Новосибирская область
        Омская область,1993,214.0,Омская область
        Томская область,1993,74.0,Томская область
        Республика Бурятия,1993,105.0,Республика Бурятия
        Забайкальский край,1993,133.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1993,11.0,Забайкальский край
        Республика Саха (Якутия),1993,185.0,Республика Саха (Якутия)
        Камчатский край,1993,27.0,Камчатский край
        Приморский край,1993,155.0,Приморский край
        Хабаровский край,1993,92.0,Хабаровский край
        Амурская область,1993,108.0,Амурская область
        Магаданская область,1993,5.0,Магаданская область
        Сахалинская область,1993,25.0,Сахалинская область
        Еврейская автономная область,1993,45.0,Еврейская автономная область
        Чукотский автономный округ,1993,20.0,Чукотский автономный округ
        Белгородская область,1994,80.0,Белгородская область
        Брянская область,1994,99.0,Брянская область
        Владимирская область,1994,46.0,Владимирская область
        Воронежская область,1994,154.0,Воронежская область
        Ивановская область,1994,50.0,Ивановская область
        Калужская область,1994,59.0,Калужская область
        Костромская область,1994,51.0,Костромская область
        Курская область,1994,89.0,Курская область
        Липецкая область,1994,81.0,Липецкая область
        Московская область,1994,145.0,Московская область
        Орловская область,1994,75.0,Орловская область
        Рязанская область,1994,58.0,Рязанская область
        Смоленская область,1994,59.0,Смоленская область
        Тамбовская область,1994,83.0,Тамбовская область
        Тверская область,1994,89.0,Тверская область
        Тульская область,1994,85.0,Тульская область
        Ярославская область,1994,44.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1994,0.0,Москва
        Республика Карелия,1994,30.0,Республика Карелия
        Республика Коми,1994,85.0,Республика Коми
