region,not_crowded_pct,somewhat_crowded_pct,very_crowded_pct,no_answer_pct,total_area_per_person,living_area_per_person,rooms_per_household,intend_improve_housing,intend_due_to_crowding,intend_due_to_bad_condition,intend_due_to_both,plan_dolevka,plan_queue,plan_resettle,plan_buy_or_build,plan_rent,plan_other,no_answer,not_intending_to_improve,year,region_standard
Ивановская область,76.9,19.1,3.9,0.0,25.2,18.1,2.4,13.4,5.5,1.5,0.9,3.7,1.3,2.7,30.2,9.8,52.4,0,85.0,2020,Ивановская область
Иркутская область,79.8,16.0,4.1,0.0,21.3,16.3,2.4,17.2,7.8,1.6,0.9,4.1,6.7,4.7,38.5,2.1,45.2,0.2,82.6,2020,Иркутская область
Кабардино-Балкарская Республика,71.0,26.1,3.0,0.0,25.8,18.9,3.3,13.0,11.3,0.5,0.5,...,...,...,...,...,...,...,87.0,2020,Кабардино-Балкарская Республика
Калининградская область,80.7,13.4,5.9,0.0,23.1,15.6,2.3,12.4,5.1,1.9,1.5,...,...,...,...,...,...,...,87.6,2020,Калининградская область
Калужская область,79.9,16.8,3.3,0.0,22.6,15.5,2.2,4.3,2.5,0.2,0.0,...,...,...,...,...,...,...,95.7,2020,Калужская область
Камчатский край,73.2,21.7,5.1,0.0,23.9,15.9,2.2,22.0,11.7,3.0,2.0,0.9,14.6,5.7,25.6,4.1,48.8,0.2,77.9,2020,Камчатский край
Карачаево-Черкесская Республика,71.0,23.2,5.8,0.0,24.3,18.3,2.9,25.1,14.0,2.6,1.7,11.4,0,7.9,32.3,1.5,46.9,0,74.9,2020,Карачаево-Черкесская Республика
Кемеровская область,85.4,11.5,3.1,0.0,23.3,16.3,2.4,11.3,2.7,1.0,0.1,1.3,4.1,0.4,38.3,0.6,53.9,2,87.7,2020,Кемеровская область
Кировская область,85.7,11.1,3.2,0.0,22.9,14.9,2.2,16.2,3.3,2.5,0.3,3.5,0,5.7,42.6,4.9,43.4,0,83.6,2020,Кировская область
Костромская область,80.7,15.6,3.7,0.0,21.7,14.5,2.2,7.8,4.2,1.5,0.9,...,...,...,...,...,...,...,90.8,2020,Костромская область
Краснодарский край,78.4,17.9,3.7,0.0,26.9,18.1,2.8,15.1,6.7,1.2,1.0,16.8,1.6,3.6,23.4,3.7,50.3,0.5,84.5,2020,Краснодарский край
