region,children_under_16,above_working_age,working_age_population,year,region_standard
        Смоленская область,34.7,12.0,53.3,2020,Смоленская область
        Тамбовская область,33.5,7.6,58.9,2020,Тамбовская область
        Тверская область,31.0,3.8,65.1,2020,Тверская область
        Тульская область,38.8,5.3,56.0,2020,Тульская область
        Ярославская область,31.9,2.3,65.8,2020,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,38.4,13.2,48.5,2020,Москва
        Республика Карелия,39.0,3.0,58.1,2020,Республика Карелия
        Республика Коми,40.1,6.6,53.3,2020,Республика Коми
        Архангельская область,30.2,6.7,63.1,2020,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),28.5,7.2,64.3,2020,Архангельская область
        Вологодская область,43.1,2.3,54.6,2020,Вологодская область
        Калининградская область,29.1,6.1,64.8,2020,Калининградская область
        Мурманская область,43.7,0.4,55.8,2020,Мурманская область
        Новгородская область,40.1,1.3,58.6,2020,Новгородская область
        Псковская область,29.6,9.3,61.0,2020,Псковская область
        Республика Адыгея (Адыгея),44.6,5.4,50.1,2020,Республика Адыгея
        Республика Калмыкия,33.8,0.3,65.9,2020,Республика Калмыкия
        Республика Крым,48.2,1.7,50.1,2020,Республика Крым
        Краснодарский край,39.3,6.9,53.8,2020,Краснодарский край
        Астраханская область,42.1,5.5,52.4,2020,Астраханская область
        Волгоградская область,46.2,4.0,49.8,2020,Волгоградская область
        Ростовская область,43.9,1.6,54.5,2020,Ростовская область
        Республика Дагестан,38.3,5.0,56.7,2020,Республика Дагестан
        Республика Ингушетия,38.1,10.6,51.3,2020,Республика Ингушетия
        Кабардино-Балкарская Республика,35.9,6.7,57.4,2020,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,27.6,6.9,65.5,2020,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,34.8,6.8,58.4,2020,Республика Северная Осетия - Алания
        Чеченская Республика,43.7,6.2,50.1,2020,Чеченская Республика
        Ставропольский край,39.2,1.9,58.9,2020,Ставропольский край
        Республика Башкортостан,40.1,4.5,55.4,2020,Республика Башкортостан
        Республика Марий Эл,32.8,5.8,61.5,2020,Республика Марий Эл
        Республика Татарстан (Татарстан),42.0,7.3,50.7,2020,Республика Татарстан
        Удмуртская Республика,49.9,2.7,47.5,2020,Удмуртская Республика
        Чувашская Республика - Чувашия,22.2,4.2,73.6,2020,Чувашская Республика
        Пермский край,41.5,3.7,54.8,2020,Пермский край
        Кировская область,40.8,3.4,55.7,2020,Кировская область
        Нижегородская область,31.7,3.8,64.5,2020,Нижегородская область
        Оренбургская область,42.8,3.3,53.9,2020,Оренбургская область
        Пензенская область,32.7,12.8,54.5,2020,Пензенская область
        Самарская область,36.9,9.5,53.6,2020,Самарская область
        Саратовская область,39.0,2.5,58.5,2020,Саратовская область
        Ульяновская область,38.4,3.1,58.5,2020,Ульяновская область
        Курганская область,39.4,2.4,58.2,2020,Курганская область
        Свердловская область,46.3,2.2,51.5,2020,Свердловская область
        Тюменская область,45.6,4.6,49.8,2020,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),55.6,1.6,42.9,2020,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),51.0,0.7,48.4,2020,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),37.9,7.5,54.7,2020,Тюменская область
        Челябинская область,40.6,6.0,53.4,2020,Челябинская область
Республика Алтай,44.5,2.9,52.6,2020,Республика Алтай
Республика Тыва,45.0,2.6,52.4,2020,Республика Тыва
Республика Хакасия,43.2,2.4,54.3,2020,Республика Хакасия
Алтайский край,31.4,9.2,59.4,2020,Алтайский край
Красноярский край,35.8,4.8,59.4,2020,Красноярский край
Иркутская область,41.5,7.0,51.5,2020,Иркутская область
Кемеровская область - Кузбасс,39.7,4.5,55.8,2020,Кемеровская область
Новосибирская область,34.1,4.4,61.5,2020,Новосибирская область
Омская область,38.8,5.1,56.2,2020,Омская область
Томская область,42.2,3.6,54.2,2020,Томская область
Республика Бурятия,41.7,3.7,54.6,2020,Республика Бурятия
Забайкальский край,33.4,7.2,59.3,2020,Забайкальский край
Республика Саха (Якутия),44.2,5.1,50.7,2020,Республика Саха (Якутия)
Камчатский край,42.6,5.9,51.5,2020,Камчатский край
Приморский край,49.6,4.2,46.2,2020,Приморский край
Хабаровский край,32.7,6.4,60.9,2020,Хабаровский край
Амурская область,38.4,4.7,56.9,2020,Амурская область
Еврейская автономная область,34.8,10.8,54.4,2020,Еврейская автономная область
