region,year,income_per_capita,real_income,nominal_wage,real_wage,region_standard
Республика Коми,2017,32310.0,97.5,45689.0,101.1,Республика Коми
Республика Коми,2018,34074.0,101.1,50413.0,107.0,Республика Коми
Республика Коми,2019,35356.0,97.1,53416.0,100.4,Республика Коми
Республика Коми,2020,36677.0,98.0,57156.0,102.1,Республика Коми
Республика Крым,2015,15664.0,,22440.0,…,Республика Крым
Республика Крым,2016,17825.0,102.1,24140.0,96.2,Республика Крым
Республика Крым,2017,19818.0,106.4,26165.0,103.6,Республика Крым
Республика Крым,2018,21524.0,105.9,29640.0,110.5,Республика Крым
Республика Крым,2019,22364.0,99.0,32748.0,105.3,Республика Крым
Республика Крым,2020,22950.0,99.5,34181.0,101.5,Республика Крым
Республика Марий Эл,2015,18550.0,97.2,21947.0,92.7,Республика Марий Эл
Республика Марий Эл,2016,18859.0,95.0,23305.0,99.4,Республика Марий Эл
Республика Марий Эл,2017,19331.0,98.6,25440.0,105.3,Республика Марий Эл
Республика Марий Эл,2018,19802.0,99.2,28143.0,107.4,Республика Марий Эл
Республика Марий Эл,2019,20864.0,100.0,30152.0,101.9,Республика Марий Эл
Республика Марий Эл,2020,21264.0,98.3,32278.0,103.8,Республика Марий Эл
Республика Мордовия,2015,17588.0,97.3,22029.0,94.8,Республика Мордовия
Республика Мордовия,2016,17832.0,96.3,23229.0,100.1,Республика Мордовия
Республика Мордовия,2017,18255.0,99.9,24327.0,102.3,Республика Мордовия
Республика Мордовия,2018,18651.0,99.4,26712.0,107.8,Республика Мордовия
Республика Мордовия,2019,19748.0,101.3,28826.0,104.2,Республика Мордовия
Республика Мордовия,2020,20631.0,100.7,31105.0,105.1,Республика Мордовия
Республика Саха (Якутия),2015,37013.0,100.4,54631.0,95.6,Республика Саха (Якутия)
Республика Саха (Якутия),2016,38863.0,97.7,59000.0,100.2,Республика Саха (Якутия)
Республика Саха (Якутия),2017,40554.0,99.5,62206.0,100.3,Республика Саха (Якутия)
Республика Саха (Якутия),2018,42843.0,102.9,68871.0,107.5,Республика Саха (Якутия)
Республика Саха (Якутия),2019,45458.0,102.2,73402.0,102.3,Республика Саха (Якутия)
Республика Саха (Якутия),2020,46338.0,99.5,77178.0,101.8,Республика Саха (Якутия)
"Республика Северная
Осетия-Алания",2015,21804.0,98.3,21267.0,90.9,
"Республика Северная
Осетия-Алания",2016,22220.0,95.2,22806.0,100.2,
"Республика Северная
Осетия-Алания",2017,22702.0,98.7,24715.0,104.9,
"Республика Северная
Осетия-Алания",2018,23317.0,100.1,26958.0,106.7,
"Республика Северная
Осетия-Алания",2019,24495.0,101.0,28751.0,102.9,
"Республика Северная
Осетия-Алания",2020,23927.0,94.6,30479.0,103.0,
Республика Татарстан,2015,32404.0,97.6,29147.0,91.3,Республика Татарстан
Республика Татарстан,2016,32763.0,96.2,30224.0,98.3,Республика Татарстан
Республика Татарстан,2017,32436.0,96.6,32324.0,104.0,Республика Татарстан
Республика Татарстан,2018,33725.0,101.7,35172.0,106.2,Республика Татарстан
Республика Татарстан,2019,35707.0,101.8,37418.0,102.2,Республика Татарстан
Республика Татарстан,2020,35635.0,96.7,39761.0,103.1,Республика Татарстан
Республика Тыва,2015,15572.0,99.2,28322.0,90.5,Республика Тыва
Республика Тыва,2016,14963.0,91.3,29828.0,99.3,Республика Тыва
Республика Тыва,2017,15011.0,98.2,31251.0,101.6,Республика Тыва
Республика Тыва,2018,15609.0,101.7,35779.0,111.0,Республика Тыва
Республика Тыва,2019,16618.0,103.4,39673.0,106.8,Республика Тыва
Республика Тыва,2020,18972.0,110.9,44104.0,107.0,Республика Тыва
Республика Хакасия,2015,19116.0,96.3,29935.0,91.3,Республика Хакасия
Республика Хакасия,2016,19625.0,97.2,32515.0,102.7,Республика Хакасия
Республика Хакасия,2017,20251.0,100.4,33978.0,101.6,Республика Хакасия
Республика Хакасия,2018,21571.0,103.0,37874.0,107.9,Республика Хакасия
Республика Хакасия,2019,22689.0,99.5,40548.0,101.6,Республика Хакасия
Республика Хакасия,2020,23837.0,100.8,43800.0,104.0,Республика Хакасия
Российская Федерация,2015,302541.0,96.42,34030.0,91.01,
Российская Федерация,2016,30865.0,95.5,36709.0,100.8,
