region,year,retail_per_capita,region_standard
        Республика Хакасия,2002,14126.0,Республика Хакасия
        Алтайский край,2002,15839.0,Алтайский край
        Красноярский край,2002,25542.0,Красноярский край
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),2002,26127.0,
            Эвенкийский автономный округ (Красноярский край),2002,19848.0,
        Иркутская область,2002,22409.0,Иркутская область
            Усть-Ордынский Бурятский округ,2002,4556.0,
        Кемеровская область - Кузбасс,2002,24973.0,Кемеровская область
        Новосибирская область,2002,25230.0,Новосибирская область
        Омская область,2002,20046.0,Омская область
        Томская область,2002,20753.0,Томская область
    Дальневосточный федеральный округ,2002,23116.0,
        Республика Бурятия,2002,18310.0,Республика Бурятия
        Забайкальский край,2002,16885.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),2002,12806.0,Забайкальский край
        Республика Саха (Якутия),2002,30762.0,Республика Саха (Якутия)
        Камчатский край,2002,26788.0,Камчатский край
"            Корякский округ, входящий в состав Камчатского края",2002,22554.0,
        Приморский край,2002,20393.0,Приморский край
        Хабаровский край,2002,22922.0,Хабаровский край
        Амурская область,2002,17229.0,Амурская область
        Магаданская область,2002,24101.0,Магаданская область
        Сахалинская область,2002,28378.0,Сахалинская область
        Еврейская автономная область,2002,18310.0,Еврейская автономная область
        Чукотский автономный округ,2002,32979.0,Чукотский автономный округ
Российская Федерация,2003,31557.0,
    Центральный федеральный округ,2003,46760.0,
        Белгородская область,2003,19222.0,Белгородская область
        Брянская область,2003,17988.0,Брянская область
        Владимирская область,2003,13357.0,Владимирская область
        Воронежская область,2003,22189.0,Воронежская область
        Ивановская область,2003,12413.0,Ивановская область
        Калужская область,2003,22290.0,Калужская область
        Костромская область,2003,17308.0,Костромская область
        Курская область,2003,19014.0,Курская область
        Липецкая область,2003,21782.0,Липецкая область
        Московская область,2003,29255.0,Московская область
        Орловская область,2003,20988.0,Орловская область
        Рязанская область,2003,19713.0,Рязанская область
        Смоленская область,2003,25566.0,Смоленская область
        Тамбовская область,2003,20400.0,Тамбовская область
        Тверская область,2003,19326.0,Тверская область
        Тульская область,2003,17770.0,Тульская область
        Ярославская область,2003,18859.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2003,112698.0,Москва
    Северо-Западный федеральный округ,2003,29582.0,
        Республика Карелия,2003,28001.0,Республика Карелия
        Республика Коми,2003,44130.0,Республика Коми
        Архангельская область,2003,26959.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2003,32808.0,Ненецкий автономный округ
            Архангельская область (без АО),2003,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2003,0.0,Архангельская область
        Вологодская область,2003,21261.0,Вологодская область
        Калининградская область,2003,24253.0,Калининградская область
        Ленинградская область,2003,18515.0,Ленинградская область
        Мурманская область,2003,38803.0,Мурманская область
        Новгородская область,2003,22634.0,Новгородская область
        Псковская область,2003,25044.0,Псковская область
        Город Санкт-Петербург город федерального значения,2003,34743.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2003,25102.0,
        Республика Адыгея (Адыгея),2003,15078.0,Республика Адыгея
        Республика Калмыкия,2003,8366.0,Республика Калмыкия
        Краснодарский край,2003,26255.0,Краснодарский край
        Астраханская область,2003,21623.0,Астраханская область
        Волгоградская область,2003,23045.0,Волгоградская область
        Ростовская область,2003,27945.0,Ростовская область
    Северо-Кавказский федеральный округ,2003,17496.0,
        Республика Дагестан,2003,15792.0,Республика Дагестан
        Республика Ингушетия,2003,5338.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2003,16983.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2003,16879.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2003,14870.0,Республика Северная Осетия - Алания
        Чеченская Республика,2003,0.0,Чеченская Республика
        Ставропольский край,2003,22110.0,Ставропольский край
    Приволжский федеральный округ,2003,24366.0,
        Республика Башкортостан,2003,25324.0,Республика Башкортостан
        Республика Марий Эл,2003,12351.0,Республика Марий Эл
        Республика Мордовия,2003,14000.0,Республика Мордовия
        Республика Татарстан (Татарстан),2003,25685.0,Республика Татарстан
        Удмуртская Республика,2003,16823.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2003,15002.0,Чувашская Республика
        Пермский край,2003,29944.0,Пермский край
        Кировская область,2003,16591.0,Кировская область
        Нижегородская область,2003,26302.0,Нижегородская область
